station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 06:00:00,6,0,0,46,5,13.7,0.0,Clear,1,New Year,46,0,9.2,0.409,medium,3,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 07:00:00,7,0,0,150,8,17.7,0.0,Cloudy,1,New Year,196,0,18.8,0.836,high,5,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 08:00:00,8,0,0,531,20,18.6,0.0,Clear,1,New Year,727,1,26.6,1.0,high,5,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 09:00:00,9,0,0,552,20,18.5,0.0,Clear,1,New Year,1233,1,27.6,1.0,high,5,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 10:00:00,10,0,0,377,20,18.5,0.0,Clear,1,New Year,1460,1,18.9,0.84,high,5,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 11:00:00,11,0,0,288,10,17.5,0.0,Clear,1,New Year,1217,0,28.8,1.0,high,5,Mid Morning
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 12:00:00,12,0,0,256,10,18.0,0.0,Clear,1,New Year,921,0,25.6,1.0,high,5,Mid Morning
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 13:00:00,13,0,0,236,10,16.1,0.0,Clear,1,New Year,780,0,23.6,1.0,high,5,Mid Morning
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 14:00:00,14,0,0,242,10,14.7,0.0,Clear,1,New Year,734,0,24.2,1.0,high,5,Afternoon
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 15:00:00,15,0,0,258,10,12.4,0.0,Clear,1,New Year,736,0,25.8,1.0,high,5,Afternoon
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 16:00:00,16,0,0,288,10,12.0,0.0,Clear,1,New Year,788,0,28.8,1.0,high,5,Afternoon
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 17:00:00,17,0,0,448,18,12.6,0.0,Clear,1,New Year,994,1,24.9,1.0,high,5,Evening Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 18:00:00,18,0,0,544,18,11.8,0.0,Clear,1,New Year,1280,1,30.2,1.0,high,5,Evening Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 19:00:00,19,0,0,459,18,9.4,0.0,Clear,1,New Year,1451,1,25.5,1.0,high,5,Evening Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 20:00:00,20,0,0,358,18,9.6,0.0,Clear,1,New Year,1361,1,19.9,0.884,high,5,Evening Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 21:00:00,21,0,0,158,7,8.6,0.0,Clear,1,New Year,975,0,22.6,1.0,high,5,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 22:00:00,22,0,0,75,7,10.3,0.0,Clear,1,New Year,591,0,10.7,0.476,medium,3,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-01 23:00:00,23,0,0,21,0,10.5,0.0,Clear,1,New Year,254,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,96,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,21,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 06:00:00,6,1,0,32,5,14.5,0.0,Clear,0,,32,0,6.4,0.284,low,2,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 07:00:00,7,1,0,128,8,16.3,0.0,Clear,0,,160,0,16.0,0.711,high,4,Night
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 08:00:00,8,1,0,351,20,17.4,0.0,Cloudy,0,,511,1,17.6,0.782,high,5,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 09:00:00,9,1,0,436,20,18.4,0.0,Clear,0,,915,1,21.8,0.969,high,5,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 10:00:00,10,1,0,289,20,20.4,0.0,Cloudy,0,,1076,1,14.4,0.64,medium,4,Morning Peak
YL37,Rohini Sector 18-19,Yellow Line,2024-01-02 11:00:00,11,1,0,197,10,19.8,0.0,Cloudy,0,,922,0,19.7,0.876,high,5,Mid Morning
