station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL38,Samaypur Badli,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 06:00:00,6,0,0,53,5,13.7,0.0,Clear,1,New Year,53,0,10.6,0.377,medium,3,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 07:00:00,7,0,0,208,8,17.7,0.0,Cloudy,1,New Year,261,0,26.0,0.925,high,5,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 08:00:00,8,0,0,614,20,18.6,0.0,Clear,1,New Year,875,1,30.7,1.0,high,5,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 09:00:00,9,0,0,702,20,18.5,0.0,Clear,1,New Year,1524,1,35.1,1.0,high,5,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 10:00:00,10,0,0,456,20,18.5,0.0,Clear,1,New Year,1772,1,22.8,0.811,high,5,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 11:00:00,11,0,0,350,10,17.5,0.0,Clear,1,New Year,1508,0,35.0,1.0,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-01 12:00:00,12,0,0,345,10,18.0,0.0,Clear,1,New Year,1151,0,34.5,1.0,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-01 13:00:00,13,0,0,317,10,16.1,0.0,Clear,1,New Year,1012,0,31.7,1.0,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-01 14:00:00,14,0,0,279,10,14.7,0.0,Clear,1,New Year,941,0,27.9,0.993,high,5,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-01 15:00:00,15,0,0,311,10,12.4,0.0,Clear,1,New Year,907,0,31.1,1.0,high,5,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-01 16:00:00,16,0,0,376,10,12.0,0.0,Clear,1,New Year,966,0,37.6,1.0,high,5,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-01 17:00:00,17,0,0,579,18,12.6,0.0,Clear,1,New Year,1266,1,32.2,1.0,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 18:00:00,18,0,0,698,18,11.8,0.0,Clear,1,New Year,1653,1,38.8,1.0,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 19:00:00,19,0,0,594,18,9.4,0.0,Clear,1,New Year,1871,1,33.0,1.0,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 20:00:00,20,0,0,453,18,9.6,0.0,Clear,1,New Year,1745,1,25.2,0.897,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-01 21:00:00,21,0,0,189,7,8.6,0.0,Clear,1,New Year,1236,0,27.0,0.961,high,5,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 22:00:00,22,0,0,87,7,10.3,0.0,Clear,1,New Year,729,0,12.4,0.441,medium,3,Night
YL38,Samaypur Badli,Yellow Line,2024-01-01 23:00:00,23,0,0,29,0,10.5,0.0,Clear,1,New Year,305,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,116,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,29,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 06:00:00,6,1,0,37,5,14.5,0.0,Clear,0,,37,0,7.4,0.263,low,2,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 07:00:00,7,1,0,159,8,16.3,0.0,Clear,0,,196,0,19.9,0.708,high,4,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 08:00:00,8,1,0,439,20,17.4,0.0,Cloudy,0,,635,1,21.9,0.779,high,5,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 09:00:00,9,1,0,564,20,18.4,0.0,Clear,0,,1162,1,28.2,1.0,high,5,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 10:00:00,10,1,0,359,20,20.4,0.0,Cloudy,0,,1362,1,17.9,0.637,medium,4,Morning Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 11:00:00,11,1,0,266,10,19.8,0.0,Cloudy,0,,1189,0,26.6,0.947,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-02 12:00:00,12,1,0,247,10,18.2,0.0,Clear,0,,872,0,24.7,0.879,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-02 13:00:00,13,1,0,212,10,16.1,0.0,Clear,0,,725,0,21.2,0.754,high,5,Mid Morning
YL38,Samaypur Badli,Yellow Line,2024-01-02 14:00:00,14,1,0,197,10,14.6,0.0,Clear,0,,656,0,19.7,0.701,high,4,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-02 15:00:00,15,1,0,220,10,13.0,0.0,Clear,0,,629,0,22.0,0.783,high,5,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-02 16:00:00,16,1,0,285,10,11.6,0.0,Clear,0,,702,0,28.5,1.0,high,5,Afternoon
YL38,Samaypur Badli,Yellow Line,2024-01-02 17:00:00,17,1,0,425,18,11.3,0.0,Clear,0,,930,1,23.6,0.84,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 18:00:00,18,1,0,495,18,11.6,0.0,Clear,0,,1205,1,27.5,0.979,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 19:00:00,19,1,0,467,18,10.7,0.0,Clear,0,,1387,1,25.9,0.922,high,5,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 20:00:00,20,1,0,339,18,11.3,0.0,Clear,0,,1301,1,18.8,0.669,high,4,Evening Peak
YL38,Samaypur Badli,Yellow Line,2024-01-02 21:00:00,21,1,0,148,7,9.6,0.0,Clear,0,,954,0,21.1,0.751,high,5,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 22:00:00,22,1,0,66,7,9.8,0.0,Clear,0,,553,0,9.4,0.335,low,2,Night
YL38,Samaypur Badli,Yellow Line,2024-01-02 23:00:00,23,1,0,21,0,9.3,0.0,Clear,0,,235,0,0.0,0.0,low,1,Night
