station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL39,Seva Teerth,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 06:00:00,6,0,0,61,5,13.7,0.0,Clear,1,New Year,61,0,12.2,0.363,medium,3,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 07:00:00,7,0,0,259,8,17.7,0.0,Cloudy,1,New Year,320,0,32.4,0.964,high,5,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 08:00:00,8,0,0,754,20,18.6,0.0,Clear,1,New Year,1074,1,37.7,1.0,high,5,Morning Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 09:00:00,9,0,0,809,20,18.5,0.0,Clear,1,New Year,1822,1,40.5,1.0,high,5,Morning Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 10:00:00,10,0,0,628,20,18.5,0.0,Clear,1,New Year,2191,1,31.4,0.935,high,5,Morning Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 11:00:00,11,0,0,424,10,17.5,0.0,Clear,1,New Year,1861,0,42.4,1.0,high,5,Mid Morning
YL39,Seva Teerth,Yellow Line,2024-01-01 12:00:00,12,0,0,416,10,18.0,0.0,Clear,1,New Year,1468,0,41.6,1.0,high,5,Mid Morning
YL39,Seva Teerth,Yellow Line,2024-01-01 13:00:00,13,0,0,367,10,16.1,0.0,Clear,1,New Year,1207,0,36.7,1.0,high,5,Mid Morning
YL39,Seva Teerth,Yellow Line,2024-01-01 14:00:00,14,0,0,356,10,14.7,0.0,Clear,1,New Year,1139,0,35.6,1.0,high,5,Afternoon
YL39,Seva Teerth,Yellow Line,2024-01-01 15:00:00,15,0,0,380,10,12.4,0.0,Clear,1,New Year,1103,0,38.0,1.0,high,5,Afternoon
YL39,Seva Teerth,Yellow Line,2024-01-01 16:00:00,16,0,0,414,10,12.0,0.0,Clear,1,New Year,1150,0,41.4,1.0,high,5,Afternoon
YL39,Seva Teerth,Yellow Line,2024-01-01 17:00:00,17,0,0,732,18,12.6,0.0,Clear,1,New Year,1526,1,40.7,1.0,high,5,Evening Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 18:00:00,18,0,0,761,18,11.8,0.0,Clear,1,New Year,1907,1,42.3,1.0,high,5,Evening Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 19:00:00,19,0,0,759,18,9.4,0.0,Clear,1,New Year,2252,1,42.2,1.0,high,5,Evening Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 20:00:00,20,0,0,549,18,9.6,0.0,Clear,1,New Year,2069,1,30.5,0.908,high,5,Evening Peak
YL39,Seva Teerth,Yellow Line,2024-01-01 21:00:00,21,0,0,228,7,8.6,0.0,Clear,1,New Year,1536,0,32.6,0.97,high,5,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 22:00:00,22,0,0,100,7,10.3,0.0,Clear,1,New Year,877,0,14.3,0.426,medium,3,Night
YL39,Seva Teerth,Yellow Line,2024-01-01 23:00:00,23,0,0,31,0,10.5,0.0,Clear,1,New Year,359,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,131,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,31,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 06:00:00,6,1,0,45,5,14.5,0.0,Clear,0,,45,0,9.0,0.268,low,2,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 07:00:00,7,1,0,169,8,16.3,0.0,Clear,0,,214,0,21.1,0.628,medium,4,Night
YL39,Seva Teerth,Yellow Line,2024-01-02 08:00:00,8,1,0,560,20,17.4,0.0,Cloudy,0,,774,1,28.0,0.833,high,5,Morning Peak
YL39,Seva Teerth,Yellow Line,2024-01-02 09:00:00,9,1,0,614,20,18.4,0.0,Clear,0,,1343,1,30.7,0.914,high,5,Morning Peak
