station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL40,Sikanderpur,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 06:00:00,6,0,0,105,5,13.7,0.0,Clear,1,New Year,105,0,21.0,0.4,medium,3,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 07:00:00,7,0,0,408,8,17.7,0.0,Cloudy,1,New Year,513,0,51.0,0.971,high,5,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 08:00:00,8,0,0,1080,20,18.6,0.0,Clear,1,New Year,1593,1,54.0,1.0,high,5,Morning Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 09:00:00,9,0,0,1433,20,18.5,0.0,Clear,1,New Year,2921,1,71.7,1.0,high,5,Morning Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 10:00:00,10,0,0,894,20,18.5,0.0,Clear,1,New Year,3407,1,44.7,0.851,high,5,Morning Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 11:00:00,11,0,0,672,10,17.5,0.0,Clear,1,New Year,2999,0,67.2,1.0,high,5,Mid Morning
YL40,Sikanderpur,Yellow Line,2024-01-01 12:00:00,12,0,0,594,10,18.0,0.0,Clear,1,New Year,2160,0,59.4,1.0,high,5,Mid Morning
YL40,Sikanderpur,Yellow Line,2024-01-01 13:00:00,13,0,0,563,10,16.1,0.0,Clear,1,New Year,1829,0,56.3,1.0,high,5,Mid Morning
YL40,Sikanderpur,Yellow Line,2024-01-01 14:00:00,14,0,0,569,10,14.7,0.0,Clear,1,New Year,1726,0,56.9,1.0,high,5,Afternoon
YL40,Sikanderpur,Yellow Line,2024-01-01 15:00:00,15,0,0,613,10,12.4,0.0,Clear,1,New Year,1745,0,61.3,1.0,high,5,Afternoon
YL40,Sikanderpur,Yellow Line,2024-01-01 16:00:00,16,0,0,743,10,12.0,0.0,Clear,1,New Year,1925,0,74.3,1.0,high,5,Afternoon
YL40,Sikanderpur,Yellow Line,2024-01-01 17:00:00,17,0,0,1158,18,12.6,0.0,Clear,1,New Year,2514,1,64.3,1.0,high,5,Evening Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 18:00:00,18,0,0,1174,18,11.8,0.0,Clear,1,New Year,3075,1,65.2,1.0,high,5,Evening Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 19:00:00,19,0,0,1236,18,9.4,0.0,Clear,1,New Year,3568,1,68.7,1.0,high,5,Evening Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 20:00:00,20,0,0,869,18,9.6,0.0,Clear,1,New Year,3279,1,48.3,0.92,high,5,Evening Peak
YL40,Sikanderpur,Yellow Line,2024-01-01 21:00:00,21,0,0,410,7,8.6,0.0,Clear,1,New Year,2515,0,58.6,1.0,high,5,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 22:00:00,22,0,0,170,7,10.3,0.0,Clear,1,New Year,1449,0,24.3,0.463,medium,3,Night
YL40,Sikanderpur,Yellow Line,2024-01-01 23:00:00,23,0,0,48,0,10.5,0.0,Clear,1,New Year,628,0,0.0,0.0,low,1,Night
