station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL41,Sultanpur,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-01 06:00:00,6,0,0,56,5,13.7,0.0,Clear,1,New Year,56,0,11.2,0.4,medium,3,Night
YL41,Sultanpur,Yellow Line,2024-01-01 07:00:00,7,0,0,214,8,17.7,0.0,Cloudy,1,New Year,270,0,26.8,0.957,high,5,Night
YL41,Sultanpur,Yellow Line,2024-01-01 08:00:00,8,0,0,666,20,18.6,0.0,Clear,1,New Year,936,1,33.3,1.0,high,5,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-01 09:00:00,9,0,0,681,20,18.5,0.0,Clear,1,New Year,1561,1,34.0,1.0,high,5,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-01 10:00:00,10,0,0,480,20,18.5,0.0,Clear,1,New Year,1827,1,24.0,0.857,high,5,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-01 11:00:00,11,0,0,363,10,17.5,0.0,Clear,1,New Year,1524,0,36.3,1.0,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-01 12:00:00,12,0,0,343,10,18.0,0.0,Clear,1,New Year,1186,0,34.3,1.0,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-01 13:00:00,13,0,0,309,10,16.1,0.0,Clear,1,New Year,1015,0,30.9,1.0,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-01 14:00:00,14,0,0,271,10,14.7,0.0,Clear,1,New Year,923,0,27.1,0.968,high,5,Afternoon
YL41,Sultanpur,Yellow Line,2024-01-01 15:00:00,15,0,0,295,10,12.4,0.0,Clear,1,New Year,875,0,29.5,1.0,high,5,Afternoon
YL41,Sultanpur,Yellow Line,2024-01-01 16:00:00,16,0,0,350,10,12.0,0.0,Clear,1,New Year,916,0,35.0,1.0,high,5,Afternoon
YL41,Sultanpur,Yellow Line,2024-01-01 17:00:00,17,0,0,624,18,12.6,0.0,Clear,1,New Year,1269,1,34.7,1.0,high,5,Evening Peak
YL41,Sultanpur,Yellow Line,2024-01-01 18:00:00,18,0,0,663,18,11.8,0.0,Clear,1,New Year,1637,1,36.8,1.0,high,5,Evening Peak
YL41,Sultanpur,Yellow Line,2024-01-01 19:00:00,19,0,0,652,18,9.4,0.0,Clear,1,New Year,1939,1,36.2,1.0,high,5,Evening Peak
YL41,Sultanpur,Yellow Line,2024-01-01 20:00:00,20,0,0,428,18,9.6,0.0,Clear,1,New Year,1743,1,23.8,0.85,high,5,Evening Peak
YL41,Sultanpur,Yellow Line,2024-01-01 21:00:00,21,0,0,187,7,8.6,0.0,Clear,1,New Year,1267,0,26.7,0.954,high,5,Night
YL41,Sultanpur,Yellow Line,2024-01-01 22:00:00,22,0,0,94,7,10.3,0.0,Clear,1,New Year,709,0,13.4,0.479,medium,3,Night
YL41,Sultanpur,Yellow Line,2024-01-01 23:00:00,23,0,0,29,0,10.5,0.0,Clear,1,New Year,310,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,123,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,29,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
YL41,Sultanpur,Yellow Line,2024-01-02 06:00:00,6,1,0,42,5,14.5,0.0,Clear,0,,42,0,8.4,0.3,low,2,Night
YL41,Sultanpur,Yellow Line,2024-01-02 07:00:00,7,1,0,153,8,16.3,0.0,Clear,0,,195,0,19.1,0.682,high,4,Night
YL41,Sultanpur,Yellow Line,2024-01-02 08:00:00,8,1,0,486,20,17.4,0.0,Cloudy,0,,681,1,24.3,0.868,high,5,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-02 09:00:00,9,1,0,520,20,18.4,0.0,Clear,0,,1159,1,26.0,0.929,high,5,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-02 10:00:00,10,1,0,371,20,20.4,0.0,Cloudy,0,,1377,1,18.6,0.664,high,4,Morning Peak
YL41,Sultanpur,Yellow Line,2024-01-02 11:00:00,11,1,0,238,10,19.8,0.0,Cloudy,0,,1129,0,23.8,0.85,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-02 12:00:00,12,1,0,256,10,18.2,0.0,Clear,0,,865,0,25.6,0.914,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-02 13:00:00,13,1,0,228,10,16.1,0.0,Clear,0,,722,0,22.8,0.814,high,5,Mid Morning
YL41,Sultanpur,Yellow Line,2024-01-02 14:00:00,14,1,0,217,10,14.6,0.0,Clear,0,,701,0,21.7,0.775,high,5,Afternoon
YL41,Sultanpur,Yellow Line,2024-01-02 15:00:00,15,1,0,217,10,13.0,0.0,Clear,0,,662,0,21.7,0.775,high,5,Afternoon
