station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
YL43,Rohini West Yellow,Yellow Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 06:00:00,6,0,0,45,5,13.7,0.0,Clear,1,New Year,45,0,9.0,0.359,medium,3,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 07:00:00,7,0,0,170,8,17.7,0.0,Cloudy,1,New Year,215,0,21.2,0.845,high,5,Night
YL43,Rohini West Yellow,Yellow Line,2024-01-01 08:00:00,8,0,0,577,20,18.6,0.0,Clear,1,New Year,792,1,28.9,1.0,high,5,Morning Peak
YL43,Rohini West Yellow,Yellow Line,2024-01-01 09:00:00,9,0,0,704,20,18.5,0.0,Clear,1,New Year,1451,1,35.2,1.0,high,5,Morning Peak
YL43,Rohini West Yellow,Yellow Line,2024-01-01 10:00:00,10,0,0,460,20,18.5,0.0,Clear,1,New Year,1741,1,23.0,0.916,high,5,Morning Peak
YL43,Rohini West Yellow,Yellow Line,2024-01-01 11:00:00,11,0,0,287,10,17.5,0.0,Clear,1,New Year,1451,0,28.7,1.0,high,5,Mid Morning
YL43,Rohini West Yellow,Yellow Line,2024-01-01 12:00:00,12,0,0,293,10,18.0,0.0,Clear,1,New Year,1040,0,29.3,1.0,high,5,Mid Morning
YL43,Rohini West Yellow,Yellow Line,2024-01-01 13:00:00,13,0,0,295,10,16.1,0.0,Clear,1,New Year,875,0,29.5,1.0,high,5,Mid Morning
YL43,Rohini West Yellow,Yellow Line,2024-01-01 14:00:00,14,0,0,260,10,14.7,0.0,Clear,1,New Year,848,0,26.0,1.0,high,5,Afternoon
